Predictor,Description,Family,Data since,R2_OS_1m,hit_1m,p_1m,cur_1m,R2_OS_3m,hit_3m,p_3m,cur_3m,R2_OS_6m,hit_6m,p_6m,cur_6m,R2_OS_12m,hit_12m,p_12m,cur_12m
baa_aaa_spread,BAA-AAA quality spread,Credit,1919-02-28,-0.000742,0.603513,0.561687,0.004204,0.003520,0.659119,0.507105,0.013180,0.002131,0.695707,0.603142,0.033007,0.009131,0.749364,0.358745,0.063853
baa_10y_spread,BAA - 10y Treasury spread,Credit,1919-02-28,0.000984,0.603513,0.494746,0.005576,0.004175,0.659119,0.466006,0.017316,-0.000339,0.695707,0.528736,0.036744,0.007534,0.749364,0.377446,0.076204
indpro_yoy,"Industrial production, YoY %",Macro,1920-02-29,0.002747,0.603513,0.432961,0.006854,0.008411,0.659119,0.309781,0.020798,0.008956,0.695707,0.374268,0.040865,0.017815,0.749364,0.373487,0.085899
unrate_12m_chg,"Unemployment rate, 12m change",Macro,1949-02-28,0.001536,0.606784,0.012216,0.007634,0.005987,0.651134,0.000875,0.022797,0.009457,0.681416,0.000208,0.046421,-0.007312,0.740458,0.000078,0.094983
infl_yoy,"CPI inflation, YoY %",Macro,1872-02-29,-0.000166,0.603513,0.784999,0.006357,-0.000627,0.659119,0.714991,0.019236,-0.005863,0.695707,0.894857,0.038904,-0.008991,0.749364,0.911295,0.082322
ts_10y3m_level,10y-3m term spread,Rates/Term,1920-02-29,-0.005749,0.612296,0.693704,0.006045,-0.017372,0.660377,0.536862,0.017810,-0.023716,0.683081,0.563291,0.036283,-0.028238,0.741730,0.370729,0.074272
dgs10_12m_chg,"10y Treasury yield, 12m change",Rates/Term,1872-02-29,-0.008357,0.585947,0.028606,0.006334,-0.029053,0.632704,0.025607,0.019273,-0.047331,0.667929,0.070092,0.038698,-0.051562,0.718830,0.346446,0.081738
tbill_level,"3-month T-bill rate, level",Rates/Term,1920-02-29,-0.010031,0.583438,0.893792,0.006417,-0.030929,0.607547,0.880998,0.019451,-0.053626,0.628788,0.941351,0.039118,-0.072317,0.684478,0.887792,0.082287
spx_12m_mom,S&P 500 12-month momentum,Trend/Momentum,1872-02-29,-0.001191,0.603513,0.792241,0.007300,-0.003104,0.659119,0.917598,0.018677,-0.006668,0.695707,0.947437,0.039775,0.002433,0.749364,0.398844,0.063972
spx_vs_10ma,S&P 500 vs 10-month MA,Trend/Momentum,1871-07-31,-0.001059,0.603513,0.932753,0.006181,-0.002771,0.659119,0.818830,0.021237,-0.013832,0.689394,0.458366,0.045934,-0.003592,0.749364,0.858092,0.079051
ltr_36m,36-month trailing return (reversal),Trend/Momentum,1874-02-28,-0.001213,0.603513,0.817210,0.005387,-0.003712,0.659119,0.735451,0.015249,-0.003293,0.695707,0.621245,0.030345,-0.009624,0.750636,0.308830,0.051585
cape_z_120m,"Shiller CAPE, 10yr z-score",Valuation,1905-01-31,-0.009761,0.589711,0.758357,0.005805,-0.033877,0.627673,0.670881,0.017028,-0.064564,0.667929,0.466557,0.031904,-0.144009,0.727735,0.272210,0.062882
cape_20yr_pct,"Shiller CAPE, 20yr percentile",Valuation,1910-01-31,-0.017946,0.577164,0.192089,0.003743,-0.055751,0.626415,0.129891,0.011355,-0.092089,0.660354,0.079879,0.022448,-0.206517,0.685751,0.037147,0.043442
ep_yield,Earnings yield (1 / CAPE),Valuation,1900-02-28,-0.051878,0.480552,0.106473,0.000348,-0.120251,0.528302,0.045143,0.002420,-0.159635,0.565657,0.006124,0.008237,-0.384936,0.583969,0.002986,0.015180
rvol_12m,"Realized volatility, trailing 12m",Volatility/Conditions,1871-08-31,0.000244,0.603513,0.808403,0.006175,0.001903,0.659119,0.742134,0.018550,-0.002298,0.695707,0.880957,0.038441,-0.007379,0.749364,0.941505,0.081591
nfci_level,"NFCI financial conditions, level",Volatility/Conditions,1971-02-28,-0.001407,0.626151,0.639492,0.008156,-0.014309,0.686456,0.844218,0.022880,-0.039022,0.720974,0.827150,0.044324,-0.058291,0.779693,0.796848,0.091490
